x y z
-0.027 -0.046 0.000374174675064604
-0.026 -0.046 0.000365673107158569
-0.025 -0.046 0.00035709586973386
-0.024 -0.046 0.000348441448176176
-0.023 -0.046 0.000339708253925003
-0.022 -0.046 0.000330894619554035
-0.021 -0.046 0.000322173477831262
-0.02 -0.046 0.000314025765833964
-0.019 -0.046 0.000305806752841844
-0.018 -0.046 0.000297514999512403
-0.017 -0.046 0.000289148995204167
-0.016 -0.046 0.000280707153209446
-0.015 -0.046 0.000272319098852533
-0.014 -0.046 0.000264595596622438
-0.013 -0.046 0.000256806301568955
-0.012 -0.046 0.000248949896516256
-0.011 -0.046 0.000241024998685297
-0.01 -0.046 0.00023303015533031
-0.009 -0.046 0.000225046675979729
-0.008 -0.046 0.000217826842783163
-0.007 -0.046 0.000210547982865644
-0.00600000000000001 -0.046 0.000203208952684293
-0.005 -0.046 0.000195808552071971
-0.004 -0.046 0.000188345520542555
-0.003 -0.046 0.000180847526695647
-0.002 -0.046 0.000174219922964644
-0.001 -0.046 0.000167541340126244
0 -0.046 0.000160810857302076
0.001 -0.046 0.000154301615350471
0.002 -0.046 0.000147739556790767
0.003 -0.046 0.000141123394365134
0.004 -0.046 0.000135432326113847
0.005 -0.046 0.000129731068513789
0.006 -0.046 0.000123988363272431
0.007 -0.046 0.000118203318581196
0.008 -0.046 0.000112375005736734
0.009 -0.046 0.000106502457042521
0.01 -0.046 0.000101545468926119
0.011 -0.046 9.66529511779754e-05
0.012 -0.046 9.17289391162511e-05
0.013 -0.046 8.67728437874376e-05
0.014 -0.046 8.17840542789305e-05
0.015 -0.046 7.67619366065723e-05
0.016 -0.046 7.2638092581623e-05
0.017 -0.046 6.86586920975663e-05
0.018 -0.046 6.46579712799034e-05
0.019 -0.046 6.06356154920236e-05
0.02 -0.046 5.65913000326192e-05
0.021 -0.046 5.25246897081959e-05
0.022 -0.046 4.93290104168004e-05
0.023 -0.046 4.63607782490811e-05
0.024 -0.046 4.33804582006066e-05
0.025 -0.046 4.03879364544435e-05
0.026 -0.046 3.73830962270854e-05
0.027 -0.046 3.4365817671413e-05
0.028 -0.046 3.21799175990707e-05
0.029 -0.046 3.03042937348895e-05
0.03 -0.046 2.84234710980143e-05
0.031 -0.046 2.65374382464594e-05
0.032 -0.046 2.46461834201635e-05
0.033 -0.046 2.27496945328434e-05
0.034 -0.046 2.1631390581775e-05
0.035 -0.046 2.09022843426921e-05
0.036 -0.046 2.01712137891176e-05
0.037 -0.046 1.94381866862266e-05
0.038 -0.046 1.87032108459798e-05
0.039 -0.046 1.79662941266566e-05
0.04 -0.046 1.79406421419779e-05
0.041 -0.046 1.83756323135146e-05
0.042 -0.046 1.88074398806134e-05
0.043 -0.046 1.92360657849892e-05
0.044 -0.046 1.96615110340766e-05
0.045 -0.046 2.00837767010575e-05
0.046 -0.046 2.11382994809567e-05
0.047 -0.046 2.27147810076027e-05
0.048 -0.046 2.4282435567511e-05
0.049 -0.046 2.58413050413589e-05
0.05 -0.046 2.73914307330375e-05
-0.05 -0.045 0.000579950170878239
-0.049 -0.045 0.000570568651251167
-0.048 -0.045 0.000561101089567492
-0.047 -0.045 0.000551545918602209
-0.046 -0.045 0.000541901501937365
-0.045 -0.045 0.000532470478564257
-0.044 -0.045 0.000523319982854305
-0.043 -0.045 0.000514086276038094
-0.042 -0.045 0.00050476782394965
-0.041 -0.045 0.00049536302343355
-0.04 -0.045 0.000485870197987418
-0.039 -0.045 0.00047656466912248
-0.038 -0.045 0.000467602052592028
-0.037 -0.045 0.000458558098736638
-0.036 -0.045 0.000449431256817543
-0.035 -0.045 0.000440219904092098
-0.034 -0.045 0.00043092234116665
-0.033 -0.045 0.000421783271444513
-0.032 -0.045 0.000413055742913962
-0.031 -0.045 0.000404249422561006
-0.03 -0.045 0.000395362765376448
-0.029 -0.045 0.000386394152616884
-0.028 -0.045 0.000377341886960501
-0.027 -0.045 0.000368416346993422
-0.026 -0.045 0.000359977814708872
-0.025 -0.045 0.000351463855123318
-0.024 -0.045 0.00034287295923598
-0.023 -0.045 0.000334203544448606
-0.022 -0.045 0.000325453949669744
-0.021 -0.045 0.000316796089130259
-0.02 -0.045 0.000308708086689
-0.019 -0.045 0.000300549000990983
-0.018 -0.045 0.000292317397911131
-0.017 -0.045 0.000284011772356663
-0.016 -0.045 0.000275630543522578
-0.015 -0.045 0.00026730258276377
-0.014 -0.045 0.000259635127750408
-0.013 -0.045 0.000251902069245559
-0.012 -0.045 0.000244102094687344
-0.011 -0.045 0.000236233826210024
-0.01 -0.045 0.000228295816300876
-0.009 -0.045 0.000220368906973184
-0.008 -0.045 0.000213201094100016
-0.007 -0.045 0.000205974411405636
-0.00600000000000001 -0.045 0.000198687719142043
-0.005 -0.045 0.000191339821189675
-0.004 -0.045 0.000183929461379557
-0.003 -0.045 0.000176484149650714
-0.002 -0.045 0.000169904150649381
-0.001 -0.045 0.000163273293465005
0 -0.045 0.000156590660008362
0.001 -0.045 0.000150121998665297
0.002 -0.045 0.000143600744708671
0.003 -0.045 0.00013702561711336
0.004 -0.045 0.000131370360274496
0.005 -0.045 0.000125704909073048
0.006 -0.045 0.000119998178708601
0.007 -0.045 0.000114249281577452
0.008 -0.045 0.000108457293364933
0.009 -0.045 0.000102621250957576
0.01 -0.045 9.7695637683294e-05
0.011 -0.045 9.28340845808224e-05
0.012 -0.045 8.79411580827008e-05
0.013 -0.045 8.30162719118333e-05
0.014 -0.045 7.80588179392037e-05
0.015 -0.045 7.30681650769083e-05
0.016 -0.045 6.8970789763669e-05
0.017 -0.045 6.50170196430179e-05
0.018 -0.045 6.10420032524303e-05
0.019 -0.045 5.7045427285939e-05
0.02 -0.045 5.30269684204941e-05
0.021 -0.045 4.89862928905196e-05
0.022 -0.045 4.58117428048952e-05
0.023 -0.045 4.2863363373789e-05
