x y z
0.3 -1.65 -0.010984765864402
0.45 -1.65 -0.0118789175794408
0.6 -1.65 -0.0128051135743042
0.75 -1.65 -0.0137631939373577
0.9 -1.65 -0.014752985659822
1.05 -1.65 -0.0157743027831806
1.2 -1.65 -0.0168269465611969
1.35 -1.65 -0.0179107056362291
1.5 -1.65 -0.0190253562294949
1.65 -1.65 -0.0201706623449135
1.8 -1.65 -0.0213463759861198
1.95 -1.65 -0.0225522373862193
2.1 -1.65 -0.0237879752498295
2.25 -1.65 -0.0250533070069223
2.4 -1.65 -0.0263479390779688
2.55 -1.65 -0.0276715671498589
2.7 -1.65 -0.0290238764620518
2.85 -1.65 -0.0304045421024005
3 -1.65 -0.0318132293120655
-3 -1.5 0.00582126305769493
-2.85 -1.5 0.00615375742306945
-2.7 -1.5 0.00638752858016933
-2.55 -1.5 0.0065208245578976
-2.4 -1.5 0.00655199415434837
-2.25 -1.5 0.00647949341163878
-2.1 -1.5 0.00630189187153052
-1.95 -1.5 0.00601787857024538
-1.8 -1.5 0.00562626773128716
-1.65 -1.5 0.00512600411591735
-1.5 -1.5 0.00451616799218857
-1.35 -1.5 0.003795979685142
-1.2 -1.5 0.00296480367288576
-1.05 -1.5 0.00202215219581492
-0.9 -1.5 0.000967688349163609
-0.75 -1.5 -0.000198771367610928
-0.6 -1.5 -0.00147725506747054
-0.45 -1.5 -0.00286763407737078
-0.3 -1.5 -0.00436962213946568
-0.15 -1.5 -0.00598277522222357
0 -1.5 -0.00770649194716277
0.15 -1.5 -0.00846389498724143
0.3 -1.5 -0.0092537059183907
0.45 -1.5 -0.0100758014029784
0.6 -1.5 -0.010930044711761
0.75 -1.5 -0.0118162858343929
0.9 -1.5 -0.0127343616051444
1.05 -1.5 -0.0136840958435952
1.2 -1.5 -0.0146652995100258
1.35 -1.5 -0.0156777708752092
1.5 -1.5 -0.016721295704263
1.65 -1.5 -0.0177956474542
1.8 -1.5 -0.0189005874847805
1.95 -1.5 -0.0200358652822468
2.1 -1.5 -0.0212012186954892
2.25 -1.5 -0.0223963741841744
2.4 -1.5 -0.0236210470783371
2.55 -1.5 -0.0248749418489207
2.7 -1.5 -0.0261577523887289
2.85 -1.5 -0.0274691623032333
3 -1.5 -0.0288088452106696
-3 -1.35 0.00383583204749616
-2.85 -1.35 0.00433244137903477
-2.7 -1.35 0.00473151033093044
-2.55 -1.35 0.00503122853686422
-2.4 -1.35 0.00522988396806634
-2.25 -1.35 0.00532586948881641
-2.1 -1.35 0.00531768920355891
-1.95 -1.35 0.00520396455389993
-1.8 -1.35 0.00498344012408036
-1.65 -1.35 0.00465498911426443
-1.5 -1.35 0.00421761844216495
-1.35 -1.35 0.00367047343512905
-1.2 -1.35 0.00301284207685371
-1.05 -1.35 0.00224415877535167
-0.9 -1.35 0.00136400762165068
-0.75 -1.35 0.000372125111943067
-0.6 -1.35 -0.000731597690515784
-0.45 -1.35 -0.00194711357356725
-0.3 -1.35 -0.00327421819001761
-0.15 -1.35 -0.00471254967848667
0 -1.35 -0.00626158889796491
0.15 -1.35 -0.00694628509757589
0.3 -1.35 -0.00766346627661607
0.45 -1.35 -0.00841301916421155
0.6 -1.35 -0.00919481705594261
0.75 -1.35 -0.010008719917435
0.9 -1.35 -0.0108545745032279
1.05 -1.35 -0.0117322144906917
1.2 -1.35 -0.0126414606287348
1.35 -1.35 -0.0135821209010065
1.5 -1.35 -0.0145539907032701
1.65 -1.35 -0.0155568530345923
1.8 -1.35 -0.0165904787019634
1.95 -1.35 -0.0176546265379359
2.1 -1.35 -0.0187490436308435
2.25 -1.35 -0.0198734655671337
2.4 -1.35 -0.0210276166853293
2.55 -1.35 -0.02221121034111
2.7 -1.35 -0.0234239491829807
2.85 -1.35 -0.0246655254379837
3 -1.35 -0.0259356212068864
-3 -1.2 0.00169032014575465
-2.85 -1.2 0.00235158069638275
-2.7 -1.2 0.00291650916344854
-2.55 -1.2 0.00338323694360632
-2.4 -1.2 0.00374999130889286
-2.25 -1.2 0.00401510204180999
-2.1 -1.2 0.00417700787293673
-1.95 -1.2 0.00423426267920413
-1.8 -1.2 0.00418554140122052
-1.65 -1.2 0.00402964563868591
-1.5 -1.2 0.00376550888403526
-1.35 -1.2 0.00339220135596729
-1.2 -1.2 0.00290893439647955
-1.05 -1.2 0.00231506439739626
-0.9 -1.2 0.00161009622516872
-0.75 -1.2 0.000793686115884817
-0.6 -1.2 -0.000134355984053869
-0.45 -1.2 -0.0011740646522983
-0.3 -1.2 -0.00232531781656042
-0.15 -1.2 -0.00358783618453018
0 -1.2 -0.00496118328545359
0.15 -1.2 -0.00557274179654432
0.3 -1.2 -0.00621685573727626
0.45 -1.2 -0.00689342196713361
0.6 -1.2 -0.00760232387282567
0.75 -1.2 -0.00834343146491157
0.9 -1.2 -0.00911660148976512
1.05 -1.2 -0.00992167755666318
1.2 -1.2 -0.0107584902797487
1.35 -1.2 -0.0116268574345844
1.5 -1.2 -0.0125265841289836
1.65 -1.2 -0.0134574629877733
1.8 -1.2 -0.0144192743511135
1.95 -1.2 -0.0154117864859702
2.1 -1.2 -0.0164347558103128
2.25 -1.2 -0.0174879271295795
2.4 -1.2 -0.0185710338849316
2.55 -1.2 -0.0196837984127962
2.7 -1.2 -0.0208259322151738
2.85 -1.2 -0.0219971362401716
3 -1.2 -0.0231971011722042
-3 -1.05 -0.00061562820850658
-2.85 -1.05 0.000210716114554588
-2.7 -1.05 0.000941961596642504
-2.55 -1.05 0.00157618159613793
-2.4 -1.05 0.00211154285541082
-2.25 -1.05 0.00254631221433621
-2.1 -1.05 0.00287886313733376
-1.95 -1.05 0.00310768201194112
-1.8 -1.05 0.00323137417710717
-1.65 -1.05 0.00324866963995585
-1.5 -1.05 0.00315842844078085
-1.35 -1.05 0.00295964562747419
-1.2 -1.05 0.00265145580245574
-1.05 -1.05 0.00223313720747431
-0.9 -1.05 0.00170411531435122
-0.75 -1.05 0.00106396589283031
-0.6 -1.05 0.000312417530154541
-0.45 -1.05 -0.000550646419245071
-0.3 -1.05 -0.00152518647149535
-0.15 -1.05 -0.00261100625172161
0 -1.05 -0.00380775234196451
0.15 -1.05 -0.00434578623179105
0.3 -1.05 -0.00491643924238683
0.45 -1.05 -0.00551961842115523
0.6 -1.05 -0.00615521730625657
0.75 -1.05 -0.00682311601622343
0.9 -1.05 -0.00752318135497243
1.05 -1.05 -0.00825526693201295
1.2 -1.05 -0.00901921329761135
1.35 -1.05 -0.00981484809263955
1.5 -1.05 -0.0106419862128038
1.65 -1.05 -0.0115004299869189
1.8 -1.05 -0.0123899693688615
1.95 -1.05 -0.0133103821428119
2.1 -1.05 -0.0142614341413601
2.25 -1.05 -0.0152428794760315
2.4 -1.05 -0.0162544607797612
2.55 -1.05 -0.0172959094608237
2.7 -1.05 -0.0183669459677015
2.85 -1.05 -0.0194672800643626
3 -1.05 -0.0205966111153921
-3 -0.9 -0.00308206056543381
